Nº ocorrência;Data;Aeronave;Classificação;Tipo;Subtipo;Localidade;UF;Segmento;Status;Link
46200;02/08/2012;PRLTB;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;GOIÂNIA;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
46181;23/07/2012;PPMEO;INCIDENTE GRAVE;RE;POUSO LONGO;JUNDIAÍ;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
46170;22/07/2012;PPFJF;ACIDENTE;SCF-NP;COM COMANDOS DE VOO;BEBEDOURO;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
46154;12/07/2012;PRORV;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;UBERABA;MG;PARTICULAR;FINALIZADA;SAIBA MAIS
46024;01/07/2012;PPFKW;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;CURITIBA;PR;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
46024;01/07/2012;PPFKW;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;CURITIBA;PR;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
46026;22/06/2012;PTICD;INCIDENTE GRAVE;USOS;POUSO ANTES DA PISTA;BRASÍLIA;DF;PARTICULAR;FINALIZADA;SAIBA MAIS
45934;14/06/2012;PTYCN;ACIDENTE;OTHR;OUTROS;PAÇO DO LUMIAR;MA;PARTICULAR;FINALIZADA;SAIBA MAIS
45932;06/06/2012;PRCMF;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;GOIÂNIA;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
45932;06/06/2012;PRCMF;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;GOIÂNIA;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
45914;06/06/2012;PROMV;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;MACAÉ;RJ;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
45899;03/06/2012;PPRSI;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;RIO CLARO;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
45900;02/06/2012;PTKRF;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;SÃO PAULO;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
45901;01/06/2012;PTISU;ACIDENTE;OTHR;OUTROS;BELÉM;PA;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
45927;26/05/2012;PTDMC;ACIDENTE;SCF-NP;COM TREM DE POUSO;TATUÍ;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
45929;26/05/2012;PTNYV;ACIDENTE;RE;POUSO LONGO;BELO HORIZONTE;MG;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
52240;25/05/2012;PTDFZ;INCIDENTE GRAVE;SCF-PP;FALHA DO MOTOR EM VOO;CASCAVEL;PR;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
45891;23/05/2012;PTVLU;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;TOLEDO;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
45857;18/05/2012;PTYLN;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;SÃO PAULO;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
45912;04/05/2012;PTOND;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;MUCAJAÍ;RR;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
53433;28/04/2012;PTIKF;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;MARINGÁ;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
46048;24/04/2012;PRJHM;ACIDENTE;RE;EXCURSÃO DE PISTA;GUARULHOS;SP;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
46048;24/04/2012;PRJHM;ACIDENTE;SCF-NP;ESTOURO DE PNEU;GUARULHOS;SP;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
45757;20/04/2012;PPWCA;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;JUNDIAÍ;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
45748;16/04/2012;PTRTH;ACIDENTE;SCF-NP;COM TREM DE POUSO;FORTALEZA;CE;PARTICULAR;FINALIZADA;SAIBA MAIS
45749;15/04/2012;PTLSL;ACIDENTE;SCF-NP;COM TREM DE POUSO;GUARATINGUETÁ;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
45747;13/04/2012;PTDRR;ACIDENTE;ARC;POUSO SEM TREM;CAMPO GRANDE;MS;PARTICULAR;FINALIZADA;SAIBA MAIS
45752;11/04/2012;PPHPA;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;BRAGANÇA PAULISTA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
45752;11/04/2012;PPHPA;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;BRAGANÇA PAULISTA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
45755;04/04/2012;PRDIX;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;CARUARU;PE;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
45753;02/04/2012;PPGFC;INCIDENTE GRAVE;ARC;POUSO BRUSCO;OURO FINO;MG;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
45753;02/04/2012;PPGFC;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;OURO FINO;MG;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
46901;26/03/2012;N4489T;ACIDENTE;SCF-NP;COM TREM DE POUSO;MANAUS;AM;PARTICULAR;FINALIZADA;SAIBA MAIS
45597;12/03/2012;PTKPG;ACIDENTE;RE;EXCURSÃO DE PISTA;CAMPO GRANDE;MS;ADMINISTRAÇÃO DIRETA;FINALIZADA;SAIBA MAIS
45597;12/03/2012;PTKPG;ACIDENTE;SCF-NP;COM TREM DE POUSO;CAMPO GRANDE;MS;ADMINISTRAÇÃO DIRETA;FINALIZADA;SAIBA MAIS
45589;02/03/2012;PPSAM;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;LINS;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
45589;02/03/2012;PPSAM;ACIDENTE;WSTRW;CORTANTE DE VENTO / TEMPESTADE;LINS;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
45599;27/02/2012;PTCJX;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;BRAGANÇA PAULISTA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
45584;19/02/2012;PRLLA;INCIDENTE GRAVE;ARC;POUSO SEM TREM;ESTÂNCIA;SE;PARTICULAR;FINALIZADA;SAIBA MAIS
52471;15/02/2012;PTVMQ;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;CAIRU;BA;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
52471;15/02/2012;PTVMQ;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;CAIRU;BA;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
45466;12/02/2012;PTONX;ACIDENTE;ARC;POUSO SEM TREM;CAMPINAS;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
45524;07/02/2012;PPGKQ;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;JUNDIAÍ;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
45524;07/02/2012;PPGKQ;ACIDENTE;RE;EXCURSÃO DE PISTA;JUNDIAÍ;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
45393;22/01/2012;PTDHU;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;RIO DE JANEIRO;RJ;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
45393;22/01/2012;PTDHU;ACIDENTE;RE;EXCURSÃO DE PISTA;RIO DE JANEIRO;RJ;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
45400;21/01/2012;PROAF;INCIDENTE GRAVE;F-NI;FOGO EM VOO;BRASÍLIA;DF;REGULAR;FINALIZADA;SAIBA MAIS
